Phi[deg],Theta[deg],RealizedGainY
-180,0,30.3095
-178,0,30.3095
-176,0,30.3095
-174,0,30.3095
-172,0,30.3095
-170,0,30.3095
-168,0,30.3095
-166,0,30.3095
-164,0,30.3095
-162,0,30.3095
-160,0,30.3095
-158,0,30.3095
-156,0,30.3095
-154,0,30.3095
-152,0,30.3095
-150,0,30.3095
-148,0,30.3095
-146,0,30.3095
-144,0,30.3095
-142,0,30.3095
-140,0,30.3095
-138,0,30.3095
-136,0,30.3095
-134,0,30.3095
-132,0,30.3095
-130,0,30.3095
-128,0,30.3095
-126,0,30.3095
-124,0,30.3095
-122,0,30.3095
-120,0,30.3095
-118,0,30.3095
-116,0,30.3095
-114,0,30.3095
-112,0,30.3095
-110,0,30.3095
-108,0,30.3095
-106,0,30.3095
-104,0,30.3095
-102,0,30.3095
-100,0,30.3095
-98,0,30.3095
-96,0,30.3095
-94,0,30.3095
-92,0,30.3095
-90,0,30.3095
-88,0,30.3095
-86,0,30.3095
-84,0,30.3095
-82,0,30.3095
-80,0,30.3095
-78,0,30.3095
-76,0,30.3095
-74,0,30.3095
-72,0,30.3095
-70,0,30.3095
-68,0,30.3095
-66,0,30.3095
-64,0,30.3095
-62,0,30.3095
-60,0,30.3095
-58,0,30.3095
-56,0,30.3095
-54,0,30.3095
-52,0,30.3095
-50,0,30.3095
-48,0,30.3095
-46,0,30.3095
-44,0,30.3095
-42,0,30.3095
-40,0,30.3095
-38,0,30.3095
-36,0,30.3095
-34,0,30.3095
-32,0,30.3095
-30,0,30.3095
-28,0,30.3095
-26,0,30.3095
-24,0,30.3095
-22,0,30.3095
-20,0,30.3095
-18,0,30.3095
-16,0,30.3095
-14,0,30.3095
-12,0,30.3095
-10,0,30.3095
-8,0,30.3095
-6,0,30.3095
-4,0,30.3095
-2,0,30.3095
0,0,30.3095
2,0,30.3095
4,0,30.3095
6,0,30.3095
8,0,30.3095
10,0,30.3095
12,0,30.3095
14,0,30.3095
16,0,30.3095
18,0,30.3095
20,0,30.3095
22,0,30.3095
24,0,30.3095
26,0,30.3095
28,0,30.3095
30,0,30.3095
32,0,30.3095
34,0,30.3095
36,0,30.3095
38,0,30.3095
40,0,30.3095
42,0,30.3095
44,0,30.3095
46,0,30.3095
48,0,30.3095
50,0,30.3095
52,0,30.3095
54,0,30.3095
56,0,30.3095
58,0,30.3095
60,0,30.3095
62,0,30.3095
64,0,30.3095
66,0,30.3095
68,0,30.3095
70,0,30.3095
72,0,30.3095
74,0,30.3095
76,0,30.3095
78,0,30.3095
80,0,30.3095
82,0,30.3095
84,0,30.3095
86,0,30.3095
88,0,30.3095
90,0,30.3095
92,0,30.3095
94,0,30.3095
96,0,30.3095
98,0,30.3095
100,0,30.3095
102,0,30.3095
104,0,30.3095
106,0,30.3095
108,0,30.3095
110,0,30.3095
112,0,30.3095
114,0,30.3095
116,0,30.3095
118,0,30.3095
120,0,30.3095
122,0,30.3095
124,0,30.3095
126,0,30.3095
128,0,30.3095
130,0,30.3095
132,0,30.3095
134,0,30.3095
136,0,30.3095
138,0,30.3095
140,0,30.3095
142,0,30.3095
144,0,30.3095
146,0,30.3095
148,0,30.3095
150,0,30.3095
152,0,30.3095
154,0,30.3095
156,0,30.3095
158,0,30.3095
160,0,30.3095
162,0,30.3095
164,0,30.3095
166,0,30.3095
168,0,30.3095
170,0,30.3095
172,0,30.3095
174,0,30.3095
176,0,30.3095
178,0,30.3095
180,0,30.3095
-180,2,30.1132
-178,2,30.109
-176,2,30.1037
-174,2,30.0972
-172,2,30.0897
-170,2,30.081
-168,2,30.0714
-166,2,30.0607
-164,2,30.0491
-162,2,30.0366
-160,2,30.0232
-158,2,30.009
-156,2,29.994
-154,2,29.9784
-152,2,29.9622
-150,2,29.9454
-148,2,29.9281
-146,2,29.9105
-144,2,29.8925
-142,2,29.8742
-140,2,29.8558
-138,2,29.8373
-136,2,29.8188
-134,2,29.8004
-132,2,29.7822
-130,2,29.7642
-128,2,29.7465
-126,2,29.7292
-124,2,29.7123
-122,2,29.6961
-120,2,29.6804
-118,2,29.6654
-116,2,29.6512
-114,2,29.6379
-112,2,29.6253
-110,2,29.6138
-108,2,29.6032
-106,2,29.5936
-104,2,29.5852
-102,2,29.5778
-100,2,29.5716
-98,2,29.5665
-96,2,29.5627
