Phi[deg],Theta[deg],RealizedGainY
38,2,40.3342
40,2,40.3082
42,2,40.282
44,2,40.2557
46,2,40.2293
48,2,40.203
50,2,40.177
52,2,40.1514
54,2,40.1264
56,2,40.102
58,2,40.0785
60,2,40.0558
62,2,40.0342
64,2,40.0138
66,2,39.9947
68,2,39.9769
70,2,39.9606
72,2,39.9459
74,2,39.9328
76,2,39.9214
78,2,39.9117
80,2,39.9039
82,2,39.898
84,2,39.894
86,2,39.8919
88,2,39.8918
90,2,39.8936
92,2,39.8973
94,2,39.903
96,2,39.9107
98,2,39.9202
100,2,39.9315
102,2,39.9446
104,2,39.9595
106,2,39.976
108,2,39.9941
110,2,40.0137
112,2,40.0347
114,2,40.057
116,2,40.0805
118,2,40.1051
120,2,40.1306
122,2,40.157
124,2,40.184
126,2,40.2117
128,2,40.2398
130,2,40.2681
132,2,40.2966
134,2,40.3252
136,2,40.3535
138,2,40.3816
140,2,40.4093
142,2,40.4364
144,2,40.4628
146,2,40.4883
148,2,40.5129
150,2,40.5364
152,2,40.5586
154,2,40.5794
156,2,40.5988
158,2,40.6167
160,2,40.6328
162,2,40.6472
164,2,40.6597
166,2,40.6704
168,2,40.679
170,2,40.6857
172,2,40.6902
174,2,40.6926
176,2,40.6929
178,2,40.6911
180,2,40.6871
-180,4,39.7535
-178,4,39.7366
-176,4,39.7115
-174,4,39.6783
-172,4,39.6372
-170,4,39.5884
-168,4,39.5321
-166,4,39.4687
-164,4,39.3984
-162,4,39.3216
-160,4,39.2387
-158,4,39.1501
-156,4,39.0562
-154,4,38.9576
-152,4,38.8546
-150,4,38.7478
-148,4,38.6378
-146,4,38.525
-144,4,38.41
-142,4,38.2933
-140,4,38.1756
-138,4,38.0573
-136,4,37.939
-134,4,37.8213
-132,4,37.7046
-130,4,37.5896
-128,4,37.4768
-126,4,37.3665
-124,4,37.2594
-122,4,37.156
-120,4,37.0566
-118,4,36.9616
-116,4,36.8716
-114,4,36.7868
-112,4,36.7077
-110,4,36.6346
-108,4,36.5677
-106,4,36.5074
-104,4,36.4538
-102,4,36.4073
-100,4,36.368
-98,4,36.336
-96,4,36.3115
-94,4,36.2946
-92,4,36.2853
-90,4,36.2837
-88,4,36.2898
-86,4,36.3035
-84,4,36.3247
-82,4,36.3535
-80,4,36.3895
-78,4,36.4328
-76,4,36.4831
-74,4,36.5402
-72,4,36.6038
-70,4,36.6736
-68,4,36.7494
-66,4,36.8308
-64,4,36.9174
-62,4,37.009
-60,4,37.105
-58,4,37.205
-56,4,37.3085
-54,4,37.4152
-52,4,37.5245
-50,4,37.6359
-48,4,37.7489
-46,4,37.8629
-44,4,37.9774
-42,4,38.0919
-40,4,38.2058
-38,4,38.3186
-36,4,38.4296
-34,4,38.5385
-32,4,38.6445
-30,4,38.7473
-28,4,38.8462
-26,4,38.9409
-24,4,39.0307
-22,4,39.1153
-20,4,39.1942
-18,4,39.267
-16,4,39.3334
-14,4,39.393
-12,4,39.4455
-10,4,39.4906
-8,4,39.5281
-6,4,39.5579
-4,4,39.5798
-2,4,39.5936
0,4,39.5994
2,4,39.597
4,4,39.5867
6,4,39.5683
8,4,39.5421
10,4,39.5082
12,4,39.4668
14,4,39.4181
16,4,39.3625
18,4,39.3003
20,4,39.2317
22,4,39.1573
24,4,39.0773
26,4,38.9924
28,4,38.9028
30,4,38.8091
32,4,38.7119
34,4,38.6116
36,4,38.5088
38,4,38.404
40,4,38.2978
42,4,38.1907
44,4,38.0832
46,4,37.976
48,4,37.8696
50,4,37.7644
52,4,37.6611
54,4,37.5602
56,4,37.462
58,4,37.3673
60,4,37.2763
62,4,37.1895
64,4,37.1074
66,4,37.0303
68,4,36.9587
70,4,36.8928
72,4,36.833
74,4,36.7795
76,4,36.7326
78,4,36.6926
80,4,36.6596
82,4,36.6338
84,4,36.6153
86,4,36.6042
88,4,36.6006
90,4,36.6044
92,4,36.6158
94,4,36.6346
96,4,36.6608
98,4,36.6943
100,4,36.7349
102,4,36.7824
104,4,36.8367
106,4,36.8976
108,4,36.9646
110,4,37.0377
112,4,37.1163
114,4,37.2002
116,4,37.289
118,4,37.3823
120,4,37.4796
122,4,37.5805
124,4,37.6845
126,4,37.7911
128,4,37.8998
130,4,38.0101
132,4,38.1213
134,4,38.2331
136,4,38.3447
138,4,38.4557
140,4,38.5655
142,4,38.6735
144,4,38.7792
146,4,38.882
148,4,38.9814
150,4,39.0768
152,4,39.1678
154,4,39.2538
156,4,39.3344
158,4,39.4091
160,4,39.4776
162,4,39.5395
164,4,39.5944
166,4,39.642
168,4,39.682
170,4,39.7142
172,4,39.7385
174,4,39.7546
176,4,39.7626
178,4,39.7622
180,4,39.7535
-180,6,38.2223
-178,6,38.1909
-176,6,38.142
-174,6,38.0758
-172,6,37.9926
-170,6,37.8931
-168,6,37.7777
-166,6,37.6471
-164,6,37.5022
-162,6,37.3437
-160,6,37.1725
-158,6,36.9897
-156,6,36.7962
-154,6,36.593
-152,6,36.3814
-150,6,36.1624
-148,6,35.9372
-146,6,35.7069
-144,6,35.4727
-142,6,35.2358
-140,6,34.9974
-138,6,34.7585
-136,6,34.5204
-134,6,34.2842
-132,6,34.0508
-130,6,33.8214
-128,6,33.597
-126,6,33.3785
-124,6,33.1669
-122,6,32.963
-120,6,32.7676
-118,6,32.5817
-116,6,32.4058
-114,6,32.2406
-112,6,32.0868
-110,6,31.945
-108,6,31.8157
-106,6,31.6993
-104,6,31.5963
-102,6,31.507
-100,6,31.4317
-98,6,31.3708
-96,6,31.3243
-94,6,31.2925
-92,6,31.2755
-90,6,31.2733
-88,6,31.2859
-86,6,31.3133
-84,6,31.3553
-82,6,31.4119
-80,6,31.4828
-78,6,31.5677
-76,6,31.6664
-74,6,31.7785
-72,6,31.9035
-70,6,32.041
-68,6,32.1905
-66,6,32.3513
-64,6,32.5229
-62,6,32.7046
-60,6,32.8957
-58,6,33.0952
-56,6,33.3025
-54,6,33.5166
-52,6,33.7366
